code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
STAA 567,Computational and Simulation Methods  Credit,1 (1-0-0),"Course Description: Statistical computation and simulation methods used to estimate probability distribution of non-standard test statistics, find estimators, test hypotheses, and compute confidence intervals. Optimization, bootstrapping, pivoting techniques.","Prerequisite:  (STAA 551, may be taken concurrently or STAT 512, may be taken concurrently or STAT 540, may be taken concurrently) and (STAA 561, may be taken concurrently or STAT 511A or STAT 511B or STAT 520, may be taken concurrently). Restriction: Must be a: Graduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Fall.
STAA 568,Topics Industrial/Organizational Statistics  Credit,1 (1-0-0),"Course Description: Six Sigma techniques, DMAIC, CT trees, VOC tools, data collection, process capability, capability metrics, graphical data exploration, and process control.","Prerequisite:  (STAA 553, may be taken concurrently or STAR 512, may be taken concurrently or STAT 512) and (STAA 561 or STAR 511 or STAT 511A or STAT 520). Restriction: Must be a: Graduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. This is a partial semester course. Sections may be offered: Online.Term Offered: Spring.
STAA 571,Survey Statistics  ,2 (2-0-0),"Course Description: Survey design, simple random, stratified, and cluster samples. Estimation and variance estimation.",Prerequisite:  (STAA 551 or STAT 540) and (STAA 562 or STAT 530).,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor. This is a partial semester course.Term Offered: Spring.
STAA 572,Nonparametric Methods  ,2 (2-0-0),"Course Description: Rank-based methods, nonparametric inferential techniques, scatterplot smoothing, nonparametric function estimation, environmental applications.","Prerequisite:  (STAA 551, may be taken concurrently or STAR 512, may be taken concurrently or STAT 512 and STAT 540, may be taken concurrently) and (STAA 561, may be taken concurrently or STAR 511, may be taken concurrently or STAT 511A or STAT 511B or STAT 520, may be taken concurrently). Restriction: Must be a: Graduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. This is a partial semester course.Term Offered: Fall.
STAA 573,Analysis of Time Series  ,2 (2-0-0),"Course Description: Exploratory analysis of time series, including periodicity and trends, moving average and auto-regressive models, estimation and forecasting. Financial and environmental applications.","Prerequisite:  (STAA 551, may be taken concurrently or STAT 540, may be taken concurrently) and (STAA 561, may be taken concurrently or STAT 520, may be taken concurrently). Restriction: Must be a: Graduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Admission to Master of Applied Statistics program or Graduate Certificate in Data Analysis; students in the Graduate Certificate in Data Analysis require permission of the instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Spring.
STAA 574,Methods in Multivariate Analysis  ,2 (2-0-0),"Course Description: Multivariate ANOVA, principal components, factor analysis, cluster analysis, discrimination analysis.","Prerequisite:  STAA 551, may be taken concurrently and STAA 561.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor. This is a partial semester course.Term Offered: Spring.
STAA 575,Applied Bayesian Statistics  ,2 (2-0-0),"Course Description: Bayesian analysis of statistical models, prior and posterior distributions, computing methods, interpretation.",Prerequisite:  (STAA 552) and (STAA 562 or STAT 530) and (STAA 567).,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor. This is a partial semester course.Term Offered: Spring.
STAA 576,Methods in Spatial Statistics  ,2 (2-0-0),"Course Description: Covariance estimation, covariance/variogram models, spatial regression models, spatial prediction, spatial point patterns.",Prerequisite:  (STAA 552) and (STAA 561 or STAT 520). Restriction: Must not be a: Graduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Spring.
STAA 577,Statistical Learning and Data Mining  ,2 (2-0-0),"Course Description: Applications-oriented overview into how to use statistical methods to do data mining, inference, and prediction.","Prerequisite:  STAA 551, may be taken concurrently and STAA 561.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: This is a partial semester course. Sections may be offered: Online.Term Offered: Spring.
STAA 578,Machine Learning  ,2 (2-0-0),"Course Description: K-means clustering, perceptron algorithm, evaluating model performance, neural networks, learning theory and dimension reduction.","Prerequisite:  STAA 577, may be taken concurrently. Restriction: Must be a: Graduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. This is a partial semester course. Sections may be offered: Online. Credit not allowed for both CS 545 and STAA 578.Term Offered: Spring.
